animal,distance [m],run time [s],Time in Inner Region [s],Time in Outer Region [s],Inner Region Percentage [%],Outer Region Percentage [%]
Example_Trial1,0.00,0.03,0.03,0.00,100.00,0.0
Example_Trial1,0.00,0.07,0.07,0.00,100.00,0.0
Example_Trial1,0.00,0.10,0.10,0.00,100.00,0.0
Example_Trial1,0.00,0.13,0.13,0.00,100.00,0.0
Example_Trial1,0.01,0.17,0.17,0.00,100.00,0.0
Example_Trial1,0.01,0.20,0.20,0.00,100.00,0.0
Example_Trial1,0.01,0.23,0.23,0.00,100.00,0.0
Example_Trial1,0.01,0.27,0.27,0.00,100.00,0.0
Example_Trial1,0.01,0.30,0.30,0.00,100.00,0.0
Example_Trial1,0.01,0.33,0.33,0.00,100.00,0.0
Example_Trial1,0.01,0.37,0.37,0.00,100.00,0.0
Example_Trial1,0.02,0.40,0.40,0.00,100.00,0.0
Example_Trial1,0.02,0.43,0.43,0.00,100.00,0.0
Example_Trial1,0.02,0.47,0.47,0.00,100.00,0.0
Example_Trial1,0.02,0.50,0.50,0.00,100.00,0.0
Example_Trial1,0.02,0.53,0.53,0.00,100.00,0.0
Example_Trial1,0.02,0.57,0.57,0.00,100.00,0.0
Example_Trial1,0.02,0.60,0.60,0.00,100.00,0.0
Example_Trial1,0.03,0.63,0.63,0.00,100.00,0.0
Example_Trial1,0.03,0.67,0.67,0.00,100.00,0.0
Example_Trial1,0.03,0.70,0.70,0.00,100.00,0.0
Example_Trial1,0.03,0.73,0.73,0.00,100.00,0.0
Example_Trial1,0.03,0.77,0.77,0.00,100.00,0.0
Example_Trial1,0.04,0.80,0.80,0.00,100.00,0.0
Example_Trial1,0.04,0.83,0.83,0.00,100.00,0.0
Example_Trial1,0.04,0.87,0.87,0.00,100.00,0.0
Example_Trial1,0.04,0.90,0.90,0.00,100.00,0.0
Example_Trial1,0.05,0.93,0.93,0.00,100.00,0.0
Example_Trial1,0.05,0.97,0.97,0.00,100.00,0.0
Example_Trial1,0.05,1.00,1.00,0.00,100.00,0.0
